Date,Solar,Wind Offshore,Wind Onshore,Total generation
2015/01/01 00:00,0,520,8113,51094
2015/01/01 00:15,0,517,8092,50838
2015/01/01 00:30,0,514,8161,50838
2015/01/01 00:45,0,515,8146,50348
2015/01/01 01:00,0,515,8183,49304
2015/01/01 01:15,0,517,8301,48850
2015/01/01 01:30,0,517,8297,48526
2015/01/01 01:45,0,516,8409,48557
2015/01/01 02:00,0,516,8538,48487
2015/01/01 02:15,0,516,8535,48324
2015/01/01 02:30,0,513,8515,48058
2015/01/01 02:45,0,511,8572,48364
2015/01/01 03:00,0,514,8598,48217
2015/01/01 03:15,0,519,8501,47898
2015/01/01 03:30,0,519,8486,47847
2015/01/01 03:45,0,519,8623,47815
2015/01/01 04:00,0,519,8736,48686
2015/01/01 04:15,0,519,8724,48843
2015/01/01 04:30,0,521,8599,48795
2015/01/01 04:45,0,520,8515,48806
2015/01/01 05:00,0,516,8804,49316
2015/01/01 05:15,0,521,8746,49053
2015/01/01 05:30,0,521,8682,48115
2015/01/01 05:45,0,522,8615,48535
2015/01/01 06:00,0,522,8730,47582
2015/01/01 06:15,0,522,8944,48541
2015/01/01 06:30,0,521,9383,48107
2015/01/01 06:45,0,521,9612,48637
2015/01/01 07:00,0,520,9623,48503
2015/01/01 07:15,0,520,9748,47976
2015/01/01 07:30,0,520,9916,48991
2015/01/01 07:45,0,521,9957,48970
2015/01/01 08:00,0,524,9861,49387
2015/01/01 08:15,14,524,9909,50076
2015/01/01 08:30,49,526,9527,48704
2015/01/01 08:45,149,527,9435,48762
2015/01/01 09:00,341,527,9340,48144
2015/01/01 09:15,573,527,9540,48924
2015/01/01 09:30,866,527,9607,49097
2015/01/01 09:45,1313,527,9520,50318
2015/01/01 10:00,1623,527,9681,50495
2015/01/01 10:15,1890,525,9875,50196
2015/01/01 10:30,2229,522,10160,50746
2015/01/01 10:45,2725,526,10384,51380
2015/01/01 11:00,3017,527,10569,52151
2015/01/01 11:15,3196,527,10783,51720
2015/01/01 11:30,3485,527,10912,52002
2015/01/01 11:45,3759,528,11186,53381
2015/01/01 12:00,4123,528,11239,53154
2015/01/01 12:15,4256,528,11603,54035
2015/01/01 12:30,4286,528,11710,54293
2015/01/01 12:45,4128,527,11749,55113
2015/01/01 13:00,3904,527,11854,54161
2015/01/01 13:15,3655,528,12129,54300
2015/01/01 13:30,3332,528,12058,54357
2015/01/01 13:45,3111,528,11868,53938
2015/01/01 14:00,2814,524,11558,53634
2015/01/01 14:15,2465,525,11491,53143
2015/01/01 14:30,2102,525,11323,52714
2015/01/01 14:45,1734,525,11212,51743
2015/01/01 15:00,1300,525,11109,52217
2015/01/01 15:15,874,524,11139,52526
2015/01/01 15:30,534,525,11329,52687
2015/01/01 15:45,274,524,11729,52902
2015/01/01 16:00,120,524,12178,53368
2015/01/01 16:15,52,524,12804,54126
2015/01/01 16:30,24,525,13367,54894
2015/01/01 16:45,4,525,13883,56633
2015/01/01 17:00,0,525,14226,56186
2015/01/01 17:15,0,524,14667,56339
2015/01/01 17:30,0,525,15231,57506
2015/01/01 17:45,0,524,15522,57656
2015/01/01 18:00,0,524,15887,57066
2015/01/01 18:15,0,524,16240,57129
2015/01/01 18:30,0,524,16486,57166
2015/01/01 18:45,0,524,16763,57806
2015/01/01 19:00,0,524,17157,58079
2015/01/01 19:15,0,524,17352,57738
2015/01/01 19:30,0,523,17608,57725
2015/01/01 19:45,0,523,17821,56848
2015/01/01 20:00,0,523,18189,57610
2015/01/01 20:15,0,522,18471,57442
2015/01/01 20:30,0,522,18765,56782
2015/01/01 20:45,0,522,19211,55999
2015/01/01 21:00,0,522,19480,57391
2015/01/01 21:15,0,522,19702,56743
2015/01/01 21:30,0,522,19898,57485
2015/01/01 21:45,0,518,20246,56757
2015/01/01 22:00,0,521,20531,58626
2015/01/01 22:15,0,522,20689,58048
2015/01/01 22:30,0,520,20658,57715
2015/01/01 22:45,0,515,20986,58141
2015/01/01 23:00,0,505,21076,57034
2015/01/01 23:15,0,500,21421,57240
2015/01/01 23:30,0,499,21859,57499
2015/01/01 23:45,0,472,22000,57243
2015/01/02 00:00,0,391,22117,57171
2015/01/02 00:15,0,292,21867,55743
2015/01/02 00:30,0,271,22129,55636
2015/01/02 00:45,0,266,22554,56368
2015/01/02 01:00,0,268,22844,57411
2015/01/02 01:15,0,277,22903,57452
2015/01/02 01:30,0,276,23275,57462
2015/01/02 01:45,0,285,23610,56103
2015/01/02 02:00,0,283,23877,55476
2015/01/02 02:15,0,280,23794,55276
2015/01/02 02:30,0,279,23945,55448
2015/01/02 02:45,0,286,24248,54811
2015/01/02 03:00,0,299,24447,54581
2015/01/02 03:15,0,308,24532,54736
2015/01/02 03:30,0,333,24715,55108
2015/01/02 03:45,0,359,25141,55625
2015/01/02 04:00,0,340,25174,56579
2015/01/02 04:15,0,333,25305,55880
2015/01/02 04:30,0,325,25527,56591
2015/01/02 04:45,0,342,25538,56719
2015/01/02 05:00,0,362,25790,56838
2015/01/02 05:15,0,403,25883,58805
2015/01/02 05:30,0,378,25891,60242
2015/01/02 05:45,0,410,25571,59754
2015/01/02 06:00,0,484,25914,59718
2015/01/02 06:15,0,496,25971,58648
2015/01/02 06:30,0,505,26059,59346
2015/01/02 06:45,0,508,25485,57923
2015/01/02 07:00,0,501,25644,59661
2015/01/02 07:15,0,496,25740,58883
2015/01/02 07:30,0,500,25710,58757
2015/01/02 07:45,0,496,25684,60373
2015/01/02 08:00,1,500,25864,61798
2015/01/02 08:15,22,496,26193,62142
2015/01/02 08:30,46,472,26403,63440
2015/01/02 08:45,83,452,25979,63529
2015/01/02 09:00,139,424,25943,63865
2015/01/02 09:15,212,346,25892,64588
2015/01/02 09:30,278,331,25266,64403
2015/01/02 09:45,381,369,25166,64953
2015/01/02 10:00,484,403,25291,64926
2015/01/02 10:15,604,387,25105,64988
2015/01/02 10:30,724,396,25207,65567
2015/01/02 10:45,855,438,25339,65650
2015/01/02 11:00,987,443,25358,66065
2015/01/02 11:15,1170,409,25356,66206
2015/01/02 11:30,1346,399,25467,66501
2015/01/02 11:45,1547,427,25382,66868
2015/01/02 12:00,1655,432,25300,67565
2015/01/02 12:15,1687,419,25202,67133
2015/01/02 12:30,1755,401,25214,67475
2015/01/02 12:45,1807,405,25195,66634
2015/01/02 13:00,1897,425,25209,66435
2015/01/02 13:15,1949,427,25439,66257
2015/01/02 13:30,1938,425,25353,66081
2015/01/02 13:45,1813,447,25452,65866
2015/01/02 14:00,1639,484,25138,65372
2015/01/02 14:15,1446,489,24874,65191
2015/01/02 14:30,1254,485,24700,65291
2015/01/02 14:45,1070,485,24534,65950
2015/01/02 15:00,845,488,24739,65484
2015/01/02 15:15,597,484,24426,65677
2015/01/02 15:30,400,487,24393,65693
